Bill To Name First Line,Bill To Name Second Line,Account Number,Service Address,Bill Period Start,Bill Period End,Utility Type,Consumption Amount,Line Item Description,Line Item Charge,Bill Date,Due Date,SourceFile_Page
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9940 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE 1,$61.40,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9740 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE 1,$139.50,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9850 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE,$48.37,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9810 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE 9,$100.05,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9830 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE,$99.21,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9890 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG 13,$117.29,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9800 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE,$52.84,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9880 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE19,$65.73,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9860 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE,$36.22,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9840 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE,$54.36,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9910 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE 1,$60.76,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9930 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE 1,$92.02,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9780 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLOG HSE,$39.69,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9820 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG CLUB,"$2,326.33",06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9790 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE,$54.58,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9760 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE 1,$121.47,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9920 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE 17,$52.12,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9770 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE,$43.64,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9750 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSE 1,$84.70,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,9870 WESTCLIFF PKWY,MISSING,MISSING,Energy,MISSING,BLDG HSF 12,$74.09,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_1
WESTCLIFE APARTMENTS,C/O UTILITIES DEPARTMENT,93-0010211902-1,9820 WESTCLIFF PKWY BLDG,MISSING,MISSING,Waste Management,MISSING,TRASH,$61.50,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_2
WESTCLIFE APARTMENTS,C/O UTILITIES DEPARTMENT,93-0010211902-1,9900 WESTCLIFF PKWY BLDG,MISSING,MISSING,Electricity,MISSING,HSE 1,$72.07,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_2
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,MISSING,Service & Facility,$12.00,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,14.25 kWh,CTOU On-Peak,$1.45,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,4.75 kWh,CTOU On-Peak,$0.77,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,24 kWh,CTOU Shoulder,$1.94,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,8 kWh,CTOU Shoulder,$0.89,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,243.75 kWh,CTOU Off-Peak,$14.62,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,81.25 kWh,CTOU Off-Peak,$4.87,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,282 kWh,RDA,-$0.70,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,94 kWh,RDA,-$0.11,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
